REG. NO.,ACC. NO.,NAME,NATIONALITY,FACULTY,DEPARTMENT,PROGRAM ID,PROGRAM,YEAR,SEMESTER,TOTAL REGISTRATIONS,STUDENT STATUS,REGISTRATION TYPE,RESIDENCE,ACCOMMODATION Type,CAMPUS,HALL,BLOCK,BED,MEALS STATUS,HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP,SCHOLARSHIP TYPE,SCHOLARSHIP NAME,FEES,EXPECTED FEES(%) - RAW,EXPECTED FEES(%) - RANGE,TOTAL EXPECTED FEES (UGX),AMOUNT PAID (UGX),TUITION BALANCE (UGX),ACADEMIC OFFICER,ACCOMMODATION OFFICER,ACCOUNTS OFFICER,FINANCIAL AID OFFICER,RETAKE COURSES
J24B06/015,A10081,Joy Kisembo,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Late,NR,None,Mukono,,,,Not Applicable,Hoima Secondary School,Hoima,Tier 2,Public/Mixed,Innovation Scholarship,Bright Minds Scholarship,35%,35,26–50%,2683000,939050,1743950,Gift Nakkazi,Emmanuel Isabirye,Joseph Matovu,Rose Byaruhanga,"BOD0401, BOD0402, BOD0403"
J24B06/018,A10115,Noah Johnson,Kenyan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,R,Ordinary,Mukono,Delta Hall,C,C-21,Not Subscribed,Kibale Secondary School,Kibale,Tier 2,Public/Mixed,,,40%,40,26–50%,3333000,1333200,1999800,Daniel Twinamatsiko,Sharifah Nansubuga,Martin Kahinda,Sheila Ssenoga,BOD0303
J25B06/002,A10030,Gift Bamwine,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,1,3,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Pakwach Secondary School,Nebbi,Tier 2,Public/Mixed,,,100%,100,76–100%,2683000,2683000,0,Emmanuel Ddamulira,Lucy Byarugaba,Caleb Kagimu,Mary Tumusiime,
J25B06/004,A10038,Lawrence Nsereko,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,1,3,Continuing,Normal,R,Double Normal,Mukono,Beta Hall,D,D-03,Not Subscribed,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based,,,60%,60,51–75%,3533000,2119800,1413200,Naava Nsereko,Atwine Zziwa,Atwine Muwonge,Gloria Mirembe,
J25B06/007,A10056,Ian Nakayiza,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,1,3,Continuing,Normal,R,Executive,Mukono,Gamma Hall,A,A-18,Subscribed,Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed,Innovation Scholarship,Integrity Award,75%,75,51–75%,4183000,3137250,1045750,Norah Waiswa,Ivan Nakaggwa,Timothy Kato,Nancy Bukenya,BOD0206
J25B06/009,A10074,Grace Nambooze,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,1,3,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Nebbi Secondary School,Nebbi,Tier 2,Public/Mixed,,,30%,30,26–50%,2683000,804900,1878100,Caroline Wakabi,Deborah Ssekiziyivu,Lydia Otim,Juliet Nanyonjo,"BOD0201, BOD0206"
J25B06/011,A10094,Daniel Allen,Rwandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Leave of Absence,Late,NR,None,Mukono,,,,Not Applicable,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,,,90%,90,76–100%,2683000,2414700,268300,Peace Nakiganda,Gloria Bagiire,Namutebi Tumuhimbise,Namagembe Kikomeko,BOD0101
KJ23B06/003,A10026,Grace Allen,Kenyan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Finalist,Normal,R,Ordinary,Kampala,Alpha Hall,B,B-30,Not Subscribed,Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed,Leadership Grant,Community Impact Grant,100%,100,76–100%,3533000,3533000,0,Nakato Kisitu,Walter Akena,Florence Nabaggala,Ritah Adong,"BOD0501, BOD0502"
KJ23B06/006,A10084,Gift Kiconco,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,4,1,7,Retake/Probation,Late,R,Executive,Kampala,Gamma Hall,B,B-60,Subscribed,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based,,,45%,45,26–50%,4483000,2017350,2465650,Apollo Kiyingi,Francis Asiimwe,Joy Nakacwa,Diana Muzira,"BOD0503, BOD0505"
KJ24B06/016,A10099,Saul Barasa,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,NR,None,Kampala,,,,Not Applicable,Ngora High School,Soroti,Tier 2,Private/Faith-based,,,75%,75,51–75%,2683000,2012250,670750,Sharifah Kazibwe,Isaac Akiiki,Naava Kalibbala,Lloyd Kiggundu,"BOD0403, BOD0405"
KM23B06/005,A10028,Mugisha Achola,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,R,Executive,Kampala,Alpha Hall,B,B-59,Not Subscribed,Kyenjojo Secondary School,Kyenjojo,Tier 2,Public/Mixed,,,80%,80,76–100%,4483000,3586400,896600,Michael Kafuko,Valerie Bagiire,Chris Kalyegira,Mark Magezi,"BOD0601, BOD0605, BOD0607"
KM23B06/012,A10087,Deborah Nakku,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Late,NR,None,Kampala,,,,Not Applicable,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based,,,90%,90,76–100%,2683000,2414700,268300,Harriet Mugisha,Timothy Akiiki,Nambi Kiconco,Patrick Bagiire,BOD0606
KM24B06/006,A10080,Hope Naddumba,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,NR,None,Kampala,,,,Not Applicable,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,,,90%,90,76–100%,2683000,2414700,268300,Lawrence Bukenya,Nakkazi Ntale,Precious Opio,Lydia Asiimwe,"BOD0402, BOD0407"
KM25B06/003,A10027,Zaina Nansubuga,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,R,Ordinary,Kampala,Delta Hall,B,B-27,Not Subscribed,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,Innovation Scholarship,Global Vision Scholarship,35%,35,26–50%,3533000,1236550,2296450,Walter Jjumba,Deborah Kiggundu,Judy Arinaitwe,Nakintu Natukunda,BOD0102
KS23B06/014,A10112,Prisca Ainomugisha,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,R,Executive,Kampala,Alpha Hall,A,A-49,Not Subscribed,Kiboga Secondary School,Kiboga,Tier 2,Public/Mixed,,,35%,35,26–50%,4483000,1569050,2913950,Ruth Nafuna,Akiiki Pereza,Robert Ssekiziyivu,Simon Akiiki,"BOD0503, BOD0504, BOD0505"
KS24B06/012,A10078,Namyalo Ssempijja,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Late,R,Executive,Kampala,Delta Hall,B,B-05,Subscribed,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based,Merit Award,Community Impact Grant,40%,40,26–50%,4483000,1793200,2689800,Mugisha Kamanzi,Caroline Ntambi,Amina Walakira,Akello Amanya,"BOD0302, BOD0305, BOD0306"
M23B06/001,A10009,Isabella Jones,Nigerian,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Late,R,Executive,Mukono,Beta Hall,C,C-38,Not Subscribed,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,Innovation Scholarship,Integrity Award,40%,40,26–50%,4183000,1673200,2509800,Namirembe Kalyegira,Joseph Achola,Nakuya Wandera,Adong Isabirye,BOD0503
M23B06/003,A10019,Henry Walker,Congolese,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,R,Executive,Mukono,Gamma Hall,B,B-26,Subscribed,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,,,50%,50,26–50%,4183000,2091500,2091500,Jacob Kikomeko,Janet Ssempijja,Proscovia Kakooza,Nabulime Mulindwa,BOD0604
M23B06/006,A10047,Peter Ssekandi,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Gulu High School,Gulu,Tier 2,Private/Faith-based,,,60%,60,51–75%,2683000,1609800,1073200,Apollo Naggenda,David Kalema,Juliet Akiiki,Namata Kaddu,BOD0607
M23B06/009,A10054,Emmanuel Kibirige,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,R,Ordinary,Mukono,Gamma Hall,A,A-33,Subscribed,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,,,40%,40,26–50%,3333000,1333200,1999800,Joy Atim,Sophia Naggenda,Ian Kakooza,Violet Asiimwe,"BOD0602, BOD0604, BOD0605"
M23B06/011,A10073,Nandutu Kisitu,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Late,NR,None,Mukono,,,,Not Applicable,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,,,30%,30,26–50%,2683000,804900,1878100,Denis Otim,Lilian Nakiyingi,Susan Bashaija,Atim Nakandi,"BOD0601, BOD0604, BOD0605"
M23B06/014,A10114,Daisy Nsubuga,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,R,Executive,Mukono,Beta Hall,D,D-25,Not Subscribed,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,,,85%,85,76–100%,4183000,3555550,627450,Hope Komakech,Susan Nassaka,Atim Ocaya,Daisy Wakabi,BOD0606
M24B06/002,A10049,Dorothy Kasule,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,1,3,Leave of Absence,Late,R,Double Normal,Mukono,Delta Hall,A,A-13,Subscribed,King's College Budo,Kampala,Tier 1,Private/Faith-based,,,75%,75,51–75%,3533000,2649750,883250,Nambi Nakabuye,Saul Nakiganda,Caleb Magezi,Charles Bagiire,BOD0303
M24B06/005,A10075,Caleb Lwanga,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,,,35%,35,26–50%,2683000,939050,1743950,Triza Namaganda,Norah Lwanga,Sharifah Kagimu,Nakanwagi Kahinda,"BOD0402, BOD0404"
M24B06/008,A10101,Diana Naggenda,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Kakumiro Secondary School,Kakumiro,Tier 2,Public/Mixed,,,70%,70,51–75%,2683000,1878100,804900,Zaina Ssewanyana,Ronald Nafuna,Faith Nakacwa,Simon Kazibwe,BOD0406
M25B06/001,A10022,Anena Ntambi,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed,,,100%,100,76–100%,2683000,2683000,0,Walter Gitta,Nakintu Amanya,Edith Wakabi,Caroline Kiggundu,"BOD0201, BOD0203"
M25B06/004,A10029,Valerie Bainomugisha,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,R,Ordinary,Mukono,Alpha Hall,A,A-32,Subscribed,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,,,90%,90,76–100%,3333000,2999700,333300,Joshua Magezi,John Nakitto,Noah Gitta,Naggayi Ainomugisha,BOD0205
M25B06/006,A10070,Gift Namagombe,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,,,25%,25,0–25%,2683000,670750,2012250,Nakimera Kisitu,Valerie Adong,Catherine Ainomugisha,Nabirye Kibirige,BOD0201
M25B06/008,A10086,Diana Ocaya,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,1,1,Leave of Absence,Normal,NR,None,Mukono,,,,Not Applicable,Kumi Secondary School,Kumi,Tier 2,Public/Mixed,,,100%,100,76–100%,2683000,2683000,0,Olivia Olara,Simon Kakooza,Warren Wandera,Vanessa Nakimera,
M25B06/010,A10111,Robert Kamara,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,R,Ordinary,Mukono,Beta Hall,D,D-29,Not Subscribed,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based,,,30%,30,26–50%,3333000,999900,2333100,Juliet Nakitto,Joy Bagiire,Mark Achola,Nakuya Otim,"BOD0201, BOD0205"
S23B06/002,A10003,Simon Kiyingi,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,R,Double Normal,Mukono,Gamma Hall,A,A-30,Subscribed,Namasagali College,Kamuli,Tier 1,Private/Faith-based,,,80%,80,76–100%,3533000,2826400,706600,Prisca Opio,Dorothy Bbaale,Walter Bagiire,Nakato Nakku,"BOD0501, BOD0502, BOD0506"
S23B06/004,A10023,Nakkazi Walakira,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Iganga Secondary School,Iganga,Tier 2,Public/Mixed,,,80%,80,76–100%,2683000,2146400,536600,Edith Ssenfuma,Janet Nakkazi,Asiimwe Bainomugisha,Atwine Ssekiziyivu,BOD0504
S23B06/007,A10044,Catherine Lwanga,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,R,Ordinary,Mukono,Gamma Hall,A,A-37,Subscribed,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed,,,50%,50,26–50%,3333000,1666500,1666500,Warren Chemutai,Rose Kibirige,Triza Kisembo,Zaina Nambooze,BOD0502
S23B06/009,A10071,Nambooze Kisitu,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,R,Executive,Mukono,Beta Hall,A,A-06,Not Subscribed,Mpigi Secondary School,Mpigi,Tier 2,Public/Mixed,,,95%,95,76–100%,4183000,3973850,209150,Caroline Kahinda,Akiiki Wasswa,Edith Nakato,Namazzi Muwanga,"BOD0503, BOD0504"
S23B06/011,A10091,Winnie Kisitu,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Late,NR,None,Mukono,,,,Not Applicable,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,Merit Award,Integrity Award,100%,100,76–100%,2683000,2683000,0,Jacob Mugabi,Ruth Tabaaro,Namyalo Nakimera,Stephen Mulyagonja,BOD0302
S23B06/013,A10104,Zaina Kabagenyi,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,R,Executive,Mukono,Alpha Hall,B,B-56,Subscribed,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,,,75%,75,51–75%,4183000,3137250,1045750,Jacob Kakooza,Violet Kijjambu,Brian Nakaggwa,Harriet Nakaggwa,"BOD0503, BOD0504"
S24B06/003,A10015,Mary Mukasa,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,R,Executive,Mukono,Gamma Hall,B,B-40,Not Subscribed,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,,,40%,40,26–50%,4183000,1673200,2509800,Kevin Kansiime,Kevin Pereza,Rose Acen,Rebecca Zziwa,"BOD0304, BOD0305"
S24B06/005,A10020,Grace Abigaba,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Masaka Secondary School,Masaka,Tier 2,Public/Mixed,,,40%,40,26–50%,2683000,1073200,1609800,Daisy Mukasa,Michael Balikuddembe,Namutebi Tumuhimbise,Lawrence Lumala,BOD0302
S24B06/007,A10045,Nakintu Natukunda,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,,,55%,55,51–75%,2683000,1475650,1207350,Victor Matovu,Vincent Namutebi,David Nafuna,James Akiiki,"BOD0304, BOD0306"
S24B06/009,A10062,Precious Nabweteme,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,R,Double Normal,Mukono,Delta Hall,B,B-26,Subscribed,Lubiri Secondary School,Kampala,Tier 2,Public/Mixed,,,100%,100,76–100%,3533000,3533000,0,Nambi Nakato,Namyalo Obua,Peace Ssenoga,Caleb Naggenda,"BOD0302, BOD0305"
S24B06/011,A10068,Nabasirye Kiggundu,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based,,,100%,100,76–100%,2683000,2683000,0,Moses Mukasa,Namirembe Bagiire,Lydia Twinamatsiko,Sophia Wasswa,BOD0203
S24B06/014,A10096,David Otim,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,R,Executive,Mukono,Gamma Hall,C,C-27,Not Subscribed,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,,,45%,45,26–50%,4183000,1882350,2300650,Abraham Oringa,Trevor Nakacwa,Nabasirye Nakitto,Joshua Mukwaya,BOD0105
S25B06/001,A10013,Edwin Mugabi,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,R,Executive,Mukono,Alpha Hall,D,D-04,Not Subscribed,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,,,100%,100,76–100%,4183000,4183000,0,Apollo Nakandi,Janet Kiyingi,Denis Namagombe,Yasin Kakooza,"BOD0103, BOD0105"
S25B06/003,A10034,Caroline Byaruhanga,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,R,Double Normal,Mukono,Alpha Hall,C,C-31,Not Subscribed,Bukomansimbi Secondary School,Bukomansimbi,Tier 2,Public/Mixed,,,35%,35,26–50%,3533000,1236550,2296450,Emmanuel Kikomeko,Ruth Akello,Irene Okot,Lilian Kabagenyi,
S25B06/005,A10063,Judith Nakafeero,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based,Innovation Scholarship,Integrity Award,90%,90,76–100%,2683000,2414700,268300,Atwine Ntale,Peter Namugga,Brian Mulindwa,Abel Akello,
S25B06/007,A10072,Francis Nakaggwa,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,R,Double Normal,Mukono,Gamma Hall,A,A-50,Subscribed,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed,,,80%,80,76–100%,3533000,2826400,706600,Zaituni Kikomeko,Adong Luyiga,Walter Namagombe,Adong Muhangi,
S25B06/009,A10093,Noah Olara,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Late,R,Executive,Mukono,Delta Hall,B,B-47,Subscribed,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,,,80%,80,76–100%,4183000,3346400,836600,Mary Namutebi,Nabirye Yiga,Sharifah Babirye,Zaina Ssempijja,"BOD0101, BOD0102"
S25B06/011,A10108,Brian Nakku,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,R,Ordinary,Mukono,Alpha Hall,B,B-38,Not Subscribed,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed,,,75%,75,51–75%,3333000,2499750,833250,David Ainomugisha,Warren Wasswa,Akena Lwanga,Nakkazi Nassaka,BOD0105
J24P05/002,A10129,Namara Nakisige,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,5,Doctor of Ministry,3,1,5,Continuing,Late,R,Ordinary,Mukono,Gamma Hall,A,A-44,Not Subscribed,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,Innovation Scholarship,Global Vision Scholarship,90%,90,76–100%,2968000,2671200,296800,Kevin Kafuko,Janet Kiyingi,Denis Namagombe,Yasin Kakooza,"DOM0405, DOM0407"
J24P05/004,A10133,Nakato Namyalo,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,5,Doctor of Ministry,3,1,5,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based,,,30%,30,26–50%,2318000,695400,1622600,Nakintu Namutebi,Juliet Matovu,Deborah Kakooza,Lydia Bbaale,DOM0405
