REG. NO.,ACC. NO.,NAME,NATIONALITY,FACULTY,DEPARTMENT,PROGRAM ID,PROGRAM,YEAR,SEMESTER,TOTAL REGISTRATIONS,STUDENT STATUS,REGISTRATION TYPE,RESIDENCE,ACCOMMODATION Type,CAMPUS,HALL,BLOCK,BED,MEALS STATUS,HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP,SCHOLARSHIP TYPE,SCHOLARSHIP NAME,FEES,EXPECTED FEES(%) - RAW,EXPECTED FEES(%) - RANGE,TOTAL EXPECTED FEES (UGX),AMOUNT PAID (UGX),TUITION BALANCE (UGX),ACADEMIC OFFICER,ACCOMMODATION OFFICER,ACCOUNTS OFFICER,FINANCIAL AID OFFICER,RETAKE COURSES
J24B06/017,A10110,David Hall,Sudanese,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,R,Executive,Mukono,Beta Hall,D,D-12,Not Subscribed,Kibale Secondary School,Kibale,Tier 2,Public/Mixed,,,60%,60,51–75%,4183000,2509800,1673200,Oliver Nsubuga,Charles Nakku,Harriet Malinga,Judith Adong,BOD0403
J25B06/001,A10005,Vincent Kisitu,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,1,3,Continuing,Late,NR,None,Mukono,,,,Not Applicable,Muni Girls School,Arua,Tier 2,Private/Faith-based,,,50%,50,26–50%,2683000,1341500,1341500,Judy Okot,Peter Kato,Kevin Nassaka,Lloyd Muzira,"BOD0202, BOD0203, BOD0207"
J25B06/003,A10036,Gertrude Namirembe,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,1,3,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,,,100%,100,76–100%,2683000,2683000,0,Francis Ikojo,Judy Luyiga,Lawrence Obua,David Sserugo,BOD0204
J25B06/006,A10051,Nabasirye Kalyango,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,1,3,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Gomba Secondary School,Gomba,Tier 2,Public/Mixed,,,60%,60,51–75%,2683000,1609800,1073200,Adong Kakooza,Nandutu Tindyebwa,Francis Kabagenyi,Namirembe Kahinda,BOD0103
J25B06/008,A10064,Walter Nabukenya,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,1,3,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,,,70%,70,51–75%,2683000,1878100,804900,Lydia Ainomugisha,Doreen Bbaale,Dorothy Nakacwa,Norah Nakkazi,BOD0201
J25B06/010,A10088,Grace Namyalo,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,1,3,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Kumi Secondary School,Kumi,Tier 2,Public/Mixed,,,80%,80,76–100%,2683000,2146400,536600,Mugisha Akiiki,Faith Komakech,Namutebi Naddumba,Valerie Kaddu,"BOD0201, BOD0205"
J25B06/012,A10116,Ahmed Martinez,Tanzanian,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Leave of Absence,Normal,NR,None,Mukono,,,,Not Applicable,Tororo Girls School,Tororo,Tier 2,Private/Faith-based,,,70%,70,51–75%,2683000,1878100,804900,Hellen Kalyegira,Mercy Kamanzi,James Tibyangye,Grace Ouma,"BOD0202, BOD0205"
KJ23B06/004,A10032,Hope Walakira,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Leave of Absence,Normal,R,Executive,Kampala,Beta Hall,C,C-24,Not Subscribed,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based,,,55%,55,51–75%,4483000,2465650,2017350,Maria Luyiga,Naava Chemutai,Janet Kayemba,Namara Ikojo,"BOD0602, BOD0603, BOD0605"
KJ23B06/007,A10089,Noah Obua,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Finalist,Normal,R,Double Normal,Kampala,Beta Hall,C,C-34,Not Subscribed,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,,,50%,50,26–50%,3683000,1841500,1841500,Caroline Lwanga,Margaret Kibirige,Jacob Muhangi,Annet Namaganda,BOD0601
KJ25B06/005,A10043,Richard Kisitu,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Leave of Absence,Normal,R,Ordinary,Kampala,Delta Hall,B,B-43,Not Subscribed,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,Innovation Scholarship,Global Vision Scholarship,100%,100,76–100%,3533000,3533000,0,Namazzi Lwanga,Anena Mugabi,Anena Arinaitwe,Hellen Muwonge,"BOD0101, BOD0103"
KM23B06/007,A10048,Namata Ibanda,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,R,Ordinary,Kampala,Delta Hall,A,A-15,Subscribed,Nabumali High School,Mbale,Tier 1,Private/Faith-based,,,60%,60,51–75%,3533000,2119800,1413200,Namirembe Kalema,Esther Nakisige,Brian Isabirye,Adong Kazibwe,BOD0604
KM24B06/004,A10053,Nabasirye Kijjambu,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,R,Double Normal,Kampala,Beta Hall,A,A-04,Not Subscribed,Lubiri Secondary School,Kampala,Tier 2,Public/Mixed,,,80%,80,76–100%,3683000,2946400,736600,Solomon Mugerwa,Peter Akello,Winnie Kasule,Doreen Galiwango,BOD0303
KM24B06/009,A10102,Annet Oringa,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,R,Double Normal,Kampala,Alpha Hall,B,B-37,Not Subscribed,Gulu High School,Gulu,Tier 2,Private/Faith-based,Leadership Grant,Global Vision Scholarship,40%,40,26–50%,3683000,1473200,2209800,Asiimwe Ntambi,Gerald Bataringaya,Naava Sserugo,Stephen Mulindwa,BOD0405
KS23B06/006,A10042,Mildred Kazibwe,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,NR,None,Kampala,,,,Not Applicable,Kakumiro Secondary School,Kakumiro,Tier 2,Public/Mixed,,,30%,30,26–50%,2683000,804900,1878100,Diana Nakabuye,Namara Ntambi,Mugisha Nsubuga,Nabulime Ssempijja,"BOD0502, BOD0503, BOD0505"
KS24B06/002,A10010,Namara Mayanja,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,R,Double Normal,Kampala,Delta Hall,D,D-06,Subscribed,Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed,,,100%,100,76–100%,3683000,3683000,0,Robert Bashaija,Tabitha Nakafeero,Nakintu Isabirye,Edwin Matovu,"BOD0203, BOD0207"
KS24B06/016,A10105,Shamim Waiswa,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,NR,None,Kampala,,,,Not Applicable,Butambala Secondary School,Butambala,Tier 2,Public/Mixed,,,85%,85,76–100%,2683000,2280550,402450,Atim Wakabi,Eunice Namutebi,Nicholas Obua,Nancy Mulindwa,"BOD0202, BOD0204"
M23B06/002,A10017,Sarah Nelson,Sudanese,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Moroto High School,Moroto,Tier 2,Private/Faith-based,,,50%,50,26–50%,2683000,1341500,1341500,Namara Kijjambu,Juliet Matovu,Deborah Kakooza,Lydia Bbaale,"BOD0602, BOD0604, BOD0606"
M23B06/004,A10021,Timothy Lwanga,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Leave of Absence,Normal,R,Ordinary,Mukono,Gamma Hall,D,D-58,Subscribed,Butambala Secondary School,Butambala,Tier 2,Public/Mixed,,,45%,45,26–50%,3333000,1499850,1833150,Nakato Achola,Nakimera Waiswa,Yasin Nabukenya,David Nakiganda,BOD0506
M23B06/008,A10050,Asiimwe Kiyingi,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Kiboga Secondary School,Kiboga,Tier 2,Public/Mixed,,,100%,100,76–100%,2683000,2683000,0,Ian Akena,Namutebi Mulyagonja,Lydia Byarugaba,Nakuya Katusiime,BOD0603
M23B06/010,A10059,Nabulime Mulindwa,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,R,Ordinary,Mukono,Alpha Hall,B,B-48,Subscribed,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed,,,35%,35,26–50%,3333000,1166550,2166450,Nambooze Ssenoga,Asiimwe Muhangi,Dorothy Bukenya,Zaina Nakalema,BOD0602
M23B06/013,A10103,David Nakabuye,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Hoima Secondary School,Hoima,Tier 2,Public/Mixed,,,55%,55,51–75%,2683000,1475650,1207350,Emmanuel Kikomeko,Ben Nabukenya,Doreen Byarugaba,Namara Komakech,BOD0506
M24B06/001,A10007,Akiiki Kijjambu,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Late,R,Executive,Mukono,Delta Hall,A,A-59,Not Subscribed,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based,,,45%,45,26–50%,4183000,1882350,2300650,Caroline Namaganda,Lucy Obua,Akena Kabuye,Oliver Nafuna,"BOD0302, BOD0304"
M24B06/003,A10052,Akena Adong,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Hoima Secondary School,Hoima,Tier 2,Public/Mixed,,,55%,55,51–75%,2683000,1475650,1207350,Namagembe Asiimwe,Winnie Nabweteme,Tabitha Zziwa,Ruth Naddumba,"BOD0201, BOD0207"
M24B06/007,A10098,Vincent Akiiki,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,R,Double Normal,Mukono,Alpha Hall,B,B-41,Subscribed,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based,,,80%,80,76–100%,3533000,2826400,706600,Namutebi Zziwa,John Olara,Grace Balikuddembe,Mildred Ocaya,"BOD0402, BOD0403, BOD0406"
M24B06/010,A10107,Achan Nakibuuka,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,R,Executive,Mukono,Alpha Hall,B,B-47,Not Subscribed,Makerere College School,Kampala,Tier 2,Private/Faith-based,Sports Bursary,Integrity Award,100%,100,76–100%,4183000,4183000,0,Maria Ntale,Norah Kijjambu,Simon Kalema,Yasin Kabuye,BOD0303
M25B06/002,A10025,Peter Isabirye,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,R,Executive,Mukono,Alpha Hall,B,B-50,Not Subscribed,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based,,,100%,100,76–100%,4183000,4183000,0,Walter Ssenfuma,Judy Ntale,Esther Muzira,Walter Barasa,BOD0204
M25B06/005,A10037,Naggayi Kikomeko,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,R,Double Normal,Mukono,Beta Hall,C,C-26,Subscribed,Kyotera Secondary School,Kyotera,Tier 2,Public/Mixed,,,100%,100,76–100%,3533000,3533000,0,Susan Nabunya,Nabulime Oringa,Fred Barasa,Lloyd Namutebi,BOD0204
M25B06/007,A10085,Juliet Tibyangye,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based,,,45%,45,26–50%,2683000,1207350,1475650,Jacob Nakato,Lucy Nakitto,Simon Kalema,Daniel Otim,
M25B06/009,A10092,Achan Nakitto,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,,,60%,60,51–75%,2683000,1609800,1073200,Ian Nakandi,Susan Ssenfuma,Rebecca Nakimera,Ivan Kiconco,BOD0204
S23B06/001,A10002,Doreen Walakira,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,R,Executive,Mukono,Beta Hall,C,C-15,Not Subscribed,Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed,,,35%,35,26–50%,4183000,1464050,2718950,Aisha Tumusiime,Moses Byaruhanga,Atwine Nakato,Amina Ddamulira,BOD0402
S23B06/003,A10011,Nakimera Malinga,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based,Merit Award,Global Vision Scholarship,100%,100,76–100%,2683000,2683000,0,Doreen Bategeka,Richard Arinaitwe,Valerie Mirembe,Nambi Ssenoga,"BOD0401, BOD0407"
S23B06/005,A10033,Ritah Gitta,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Pallisa Secondary School,Pallisa,Tier 2,Public/Mixed,,,90%,90,76–100%,2683000,2414700,268300,Juliet Adong,Solomon Nakiganda,Maria Yiga,Daisy Ainomugisha,BOD0505
S23B06/008,A10058,Valerie Mugerwa,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Late,NR,None,Mukono,,,,Not Applicable,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,,,85%,85,76–100%,2683000,2280550,402450,Walter Nakiganda,Nabulime Ssekiziyivu,Doreen Amanya,Faith Wasswa,"BOD0501, BOD0504, BOD0505"
S23B06/010,A10077,Winnie Namugga,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Leave of Absence,Normal,R,Executive,Mukono,Alpha Hall,C,C-29,Not Subscribed,Muni Girls School,Arua,Tier 2,Private/Faith-based,,,60%,60,51–75%,4183000,2509800,1673200,Precious Chemutai,Namyalo Mukasa,Sheila Zziwa,Walter Mulyagonja,"BOD0403, BOD0404"
S23B06/012,A10095,Patience Ssempijja,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Continuing,Normal,R,Double Normal,Mukono,Delta Hall,D,D-15,Subscribed,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,,,100%,100,76–100%,3533000,3533000,0,Akello Nakiganda,Lawrence Byaruhanga,Noah Ocaya,Jacob Nakato,BOD0407
S24B06/001,A10008,Nakkazi Ntale,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,Need-Based Grant,Community Impact Grant,100%,100,76–100%,2683000,2683000,0,Ruth Nanyonjo,Deborah Naddumba,Nakato Nabweteme,Namyalo Muzira,
S24B06/004,A10016,Racheal Asiimwe,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,R,Double Normal,Mukono,Beta Hall,D,D-30,Not Subscribed,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based,,,35%,35,26–50%,3533000,1236550,2296450,Patrick Nakacwa,Jackline Nabweteme,Winnie Malinga,Hellen Kigozi,BOD0204
S24B06/006,A10031,Lucy Ssewava,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,R,Double Normal,Mukono,Beta Hall,A,A-44,Subscribed,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,,,100%,100,76–100%,3533000,3533000,0,Shamim Nakato,Ruth Tindyebwa,Mary Ssenfuma,Namata Nakisige,BOD0306
S24B06/008,A10061,Eunice Magezi,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,R,Double Normal,Mukono,Beta Hall,B,B-20,Not Subscribed,Mbarara High School,Mbarara,Tier 1,Private/Faith-based,,,100%,100,76–100%,3533000,3533000,0,Francis Nakkazi,Aisha Ssentongo,Violet Kazibwe,Victor Nakisige,BOD0301
S24B06/010,A10066,Daisy Ladu,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Gayaza High School,Kampala,Tier 1,Private/Faith-based,,,30%,30,26–50%,2683000,804900,1878100,Sharifah Chemutai,Hellen Nassaka,Nakintu Kamara,Sharifah Luyiga,"BOD0302, BOD0303"
S24B06/013,A10082,Harper Scott,Burundian,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,,,85%,85,76–100%,2683000,2280550,402450,Violet Akiiki,Florence Okot,Asiimwe Kafuko,Brian Nakiganda,"BOD0302, BOD0306"
S24B06/015,A10100,Zaina Nakayiza,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Continuing,Normal,R,Ordinary,Mukono,Beta Hall,A,A-31,Subscribed,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based,,,85%,85,76–100%,3333000,2833050,499950,Aisha Oringa,George Nakyanzi,Nambooze Olara,Janet Ddamulira,BOD0305
S25B06/002,A10024,Nakintu Nakato,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,R,Executive,Mukono,Alpha Hall,B,B-58,Not Subscribed,Nabumali High School,Mbale,Tier 1,Private/Faith-based,,,100%,100,76–100%,4183000,4183000,0,Stephen Luyiga,Proscovia Ladu,Joan Nandutu,Sharifah Muzira,BOD0101
S25B06/004,A10057,Abel Ssekiziyivu,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based,,,35%,35,26–50%,2683000,939050,1743950,Atim Twinamatsiko,Ivan Muwonge,Patrick Oloya,Apollo Asiimwe,"BOD0102, BOD0106"
S25B06/006,A10067,Denis Yiga,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,R,Executive,Mukono,Alpha Hall,B,B-21,Subscribed,Seeta High School,Kampala,Tier 2,Private/Faith-based,,,100%,100,76–100%,4183000,4183000,0,Faith Acen,Stephen Muwonge,Elijah Bagiire,Triza Nakayiza,"BOD0101, BOD0103, BOD0104"
S25B06/008,A10083,Nabirye Isabirye,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Late,R,Ordinary,Mukono,Alpha Hall,A,A-07,Not Subscribed,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based,,,40%,40,26–50%,3333000,1333200,1999800,Peter Balikuddembe,Joseph Galiwango,Zaina Nabaggala,Richard Nakayiza,"BOD0101, BOD0104"
S25B06/010,A10106,Nabirye Namagombe,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,,,55%,55,51–75%,2683000,1475650,1207350,Gerald Adong,Annet Bagiire,Stephen Walakira,Violet Wandera,BOD0104
S25B06/012,A10113,Simon Ladu,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,1,2,2,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Kumi Secondary School,Kumi,Tier 2,Public/Mixed,,,45%,45,26–50%,2683000,1207350,1475650,Triza Nakibuuka,Namazzi Katusiime,Richard Nakacwa,Namata Kayondo,"BOD0101, BOD0106"
J24P05/003,A10130,Margaret Namutebi,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,5,Doctor of Ministry,3,1,5,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Gomba Secondary School,Gomba,Tier 2,Public/Mixed,,,75%,75,51–75%,2318000,1738500,579500,Victor Nabirye,Violet Kisembo,Violet Mukasa,Edith Byaruhanga,DOM0402
J25P05/001,A10119,Achan Mukwaya,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,5,Doctor of Ministry,1,2,2,Leave of Absence,Normal,R,Executive,Mukono,Alpha Hall,B,B-47,Not Subscribed,Jinja Secondary School,Jinja,Tier 2,Public/Mixed,,,100%,100,76–100%,3818000,3818000,0,Francis Kazibwe,Dorothy Bbaale,Walter Bagiire,Nakato Nakku,DOM0206
J25P05/003,A10135,Asiimwe Wasswa,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,5,Doctor of Ministry,2,1,3,Continuing,Normal,R,Ordinary,Mukono,Gamma Hall,A,A-49,Not Subscribed,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,Leadership Grant,Global Vision Scholarship,45%,45,26–50%,2968000,1335600,1632400,Edith Zziwa,Janet Ssempijja,Proscovia Kakooza,Nabulime Mulindwa,DOM0202
